id,project_id,file_name,file_type,status
1,1,dts-2021-release.pdf,pdf,SUCCEEDED
3,1,q-dts-2021.pdf,pdf,SUCCEEDED
5,1,dts-2021-metadata.pdf,pdf,SUCCEEDED
7,2,q-dts-2020.pdf,pdf,SUCCEEDED
9,2,dts-2020-metadata.pdf,pdf,SUCCEEDED
11,2,dts-2020-release.pdf,pdf,SUCCEEDED
13,3,Q_DTS 2013.pdf,pdf,SUCCEEDED
15,3,DTS 2013 Release.pdf,pdf,SUCCEEDED
17,3,DTS 2013 Metadata.pdf,pdf,SUCCEEDED
19,4,Domestic Tourism Survey 2016 Questionnaire.pdf,pdf,SUCCEEDED
21,4,Domestic Tourism Survey 2016 Release.pdf,pdf,SUCCEEDED
23,4,Domestic Tourism Survey 2016 Metadata.pdf,pdf,SUCCEEDED
25,5,q_dts 2014.pdf,pdf,SUCCEEDED
27,5,dts 2014 release.pdf,pdf,SUCCEEDED
29,5,dts 2014 metadata.pdf,pdf,SUCCEEDED
31,6,Domestic Tourism Survey 2017 Statistical release.pdf,pdf,SUCCEEDED
33,7,Domestic Tourism Survey 2015 Questionnaire.pdf,pdf,SUCCEEDED
35,7,Domestic Tourism Survey 2015 Release.pdf,pdf,SUCCEEDED
37,7,Domestic Tourism Survey 2015 Metadata.pdf,pdf,SUCCEEDED
39,8,q-dts-2022.pdf,pdf,SUCCEEDED
41,8,dts-2022-metadata.pdf,pdf,SUCCEEDED
43,8,dts-2022-release.pdf,pdf,SUCCEEDED
45,9,q-dts-2019-cover.pdf,pdf,SUCCEEDED
47,9,q-dts-2019.pdf,pdf,SUCCEEDED
49,9,dts-2019-release.pdf,pdf,SUCCEEDED
51,9,dts-2019-metadata.pdf,pdf,SUCCEEDED
53,10,q-dts-2018-cover.pdf,pdf,SUCCEEDED
55,10,q-dts-2018.pdf,pdf,SUCCEEDED
57,10,dts-2018-release.pdf,pdf,SUCCEEDED
59,10,dts-2018-metadata.pdf,pdf,SUCCEEDED
61,11,q-cvacs-2-2022-unvaccinated.pdf,pdf,SUCCEEDED
63,11,q-cvacs-2-2022-vaccinated.pdf,pdf,SUCCEEDED
65,11,cvacs-2022-panel-user-manual.pdf,pdf,SUCCEEDED
67,11,cvacs-2022-s2-program-library-v1.zip,zip,SUCCEEDED
69,12,q-cvacs-1-2021-unvaccinated.pdf,pdf,SUCCEEDED
71,12,cvacs-2021-panel-user-manual.pdf,pdf,SUCCEEDED
73,12,cvacs-2021-s1-program-library-v1.zip,zip,SUCCEEDED
75,13,nids-cram-2020-a-questionnaire.pdf,pdf,SUCCEEDED
77,13,nids-cram-2020-w1-report.pdf,pdf,SUCCEEDED
79,13,nids-cram-2020-b-sampling.pdf,pdf,SUCCEEDED
81,13,nids-cram-2020-2021-user-manual.pdf,pdf,SUCCEEDED
83,13,nids-cram-2020-w1-quality.pdf,pdf,SUCCEEDED
85,13,nids-cram-2020-w1-v3-changes.pdf,pdf,SUCCEEDED
87,13,nids-cram-2020-w1-syntax.zip,zip,SUCCEEDED
89,14,q-nids-cram-2021-w4.pdf,pdf,SUCCEEDED
91,14,nids-cram-2021-w4-report.pdf,pdf,SUCCEEDED
93,14,nids-cram-2020-2021-user-manual.pdf,pdf,SUCCEEDED
95,14,nids-cram-2021-w4-changes.pdf,pdf,SUCCEEDED
97,14,nids-cram-2021-w4-syntax.zip,zip,SUCCEEDED
99,15,q-nids-cram-2020-w2.pdf,pdf,SUCCEEDED
101,15,nids-cram-2020-w2-report.pdf,pdf,SUCCEEDED
103,15,nids-cram-2020-2021-user-manual.pdf,pdf,SUCCEEDED
105,15,nids-cram-2020-w1-2-attrition.pdf,pdf,SUCCEEDED
107,15,nids-cram-2020-w2-v3-changes.pdf,pdf,SUCCEEDED
109,15,nids-cram-2020-w2-syntax.zip,zip,SUCCEEDED
111,16,q-nids-cram-2020-w3.pdf,pdf,SUCCEEDED
113,16,nids-cram-2020-w3-report.pdf,pdf,SUCCEEDED
115,16,nids-cram-2020-2021-user-manual.pdf,pdf,SUCCEEDED
117,16,nids-cram-2020-2021-w3-v3-changes.pdf,pdf,SUCCEEDED
119,16,nids-cram-2020-w3-syntax.zip,zip,SUCCEEDED
121,17,Q_ Mesebetsi LFS1999-2000 Hhold.pdf,pdf,SUCCEEDED
123,17,Q_ Mesebetsi LFS1999-2000 RSI.pdf,pdf,SUCCEEDED
125,17,Mesebetsi LFS 1999-2000 Fieldwork.pdf,pdf,SUCCEEDED
127,17,Mesebetsi LFS 1999-2000 Manual.pdf,pdf,SUCCEEDED
129,17,Mesebetsi LFS 1999-2000 Report.pdf,pdf,SUCCEEDED
131,17,Mesebetsi LFS 1999-2000 User files.pdf,pdf,SUCCEEDED
133,17,Mesebetsi LFS1999-2000 Admin Codebook.pdf,pdf,SUCCEEDED
135,17,Mesebetsi LFS1999-2000 Hh Codebook.pdf,pdf,SUCCEEDED
137,17,Mesebetsi LFS1999-2000 RSI Codebook.pdf,pdf,SUCCEEDED
139,18,q-gts-2017.pdf,pdf,SUCCEEDED
